Area_code	Location	Overlay_complex	Timezone
201	New Jersey	201/551	E
202	Washington D.C.	202/771	E
203	Connecticut	203/475	E
204	Manitoba	204/431	C
205	Alabama	205/659	C
206	Washington	-	P
207	Maine	-	E
208	Idaho	208/986	M/P
209	California	-	P
210	Texas	210/726	C
212	New York	212/646/917/332	E
213	California	323/213	P
214	Texas	214/972/469/945	C
215	Pennsylvania	215/267/445	E
216	Ohio	-	E
217	Illinois	217/447	C
218	Minnesota	-	C
219	Indiana	-	E/C
220	Ohio	740/220	E
223	Pennsylvania	717/223	E
224	Illinois	847/224	C
225	Louisiana	-	C
226	Ontario	519/226/548	E
228	Mississippi	-	C
229	Georgia	-	E
231	Michigan	-	E
234	Ohio	330/234	E
236	British Columbia	250/778/236/672 & 604/778/236/672	P
239	Florida	-	E
240	Maryland	301/240	E
242	Bahamas	-	E
246	Barbados	-	AST
248	Michigan	248/947	E
249	Ontario	705/249	E
250	British Columbia	250/778/236/672	P
251	Alabama	-	C
252	North Carolina	-	E
253	Washington	-	P
254	Texas	-	C
256	Alabama	256/938	C
260	Indiana	-	E
262	Wisconsin	-	C
264	Anguilla	-	AST
267	Pennsylvania	215/267/445	E
268	Antigua & Barbuda	-	AST
269	Michigan	-	E
270	Kentucky	270/364	E/C
272	Pennsylvania	570/272	E
276	Virginia	-	E
279	California	916/279	P
281	Texas	713/281/832/346	C
284	British Virgin Islands	-	AST
289	Ontario	905/289/365/742	E
301	Maryland	301/240	E
302	Delaware	-	E
303	Colorado	303/720	M
304	West Virginia	304/681	E
305	Florida	305/786	E
306	Saskatchewan	306/639/474	CST
307	Wyoming	-	M
308	Nebraska	-	C/M
309	Illinois	-	C
310	California	310/424	P
312	Illinois	312/872	C
313	Michigan	-	E
314	Missouri	-	C
315	New York	315/680	E
316	Kansas	-	C
317	Indiana	317/463	E
318	Louisiana	-	C
319	Iowa	-	C
320	Minnesota	-	C
321	Florida	407/321/689	E
323	California	323/213	P
325	Texas	-	C
326	Ohio	937/326	E
330	Ohio	330/234	E
331	Illinois	630/331	C
332	New York	212/646/917/332	E
334	Alabama	-	C
336	North Carolina	336/743	E
337	Louisiana	-	C
339	Massachusetts	781/339	E
340	US Virgin Islands	-	AST
341	California	510/341	P
343	Ontario	613/343/753	E
345	Cayman Islands	-	EST
346	Texas	713/281/832/346	C
347	New York	718/347/917/929	E
351	Massachusetts	978/351	E
